Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00048381,0.0032191,0.050559,0,0,0,3,0.00045119,1.4679E-06,-1.2424E-07,0.00050737,-7.1838E-07,0.00089983,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/base_link.STL,,body_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_thigh_Link,0.019013,0.00032996,0.00086404,0,0,0,0.071,2.5711E-06,1.9851E-08,-8.344E-08,2.9345E-06,-5.4072E-09,4.3664E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lf_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lf_thigh_Link.STL,,lf_leg^抓取机器人export_urdf-7/lf_thigh-1,lf_thigh_link,lf_thigh,lf_thigh_joint,revolute,-0.0425,0.073612,0.025246,0,0,2.0944,base_link,0,0,-1,1.2,4,-1.571,0.698,,,,,,,,
lf_knee_Link,0.024,0.00029496,0.00079694,0,0,0,0.079,3.459E-06,1.9852E-08,-8.3439E-08,6.155E-06,-5.4073E-09,4.8098E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lf_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lf_knee_Link.STL,,lf_leg^抓取机器人export_urdf-7/lf_knee-1,lf_knee_link,lf_knee,lf_knee_joint,revolute,0.05236,0,0,1.5708,0,0,lf_thigh_Link,0,0,-1,1.2,4,-2.094,2.094,,,,,,,,
lf_ankle_Link,0.037761,-0.014128,0.0005095,0,0,0,0.092,9.9997E-06,8.2892E-06,-8.347E-08,1.1276E-05,-5.3773E-09,1.9753E-05,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lf_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lf_ankle_Link.STL,,lf_leg^抓取机器人export_urdf-7/lf_ankle-1,lf_ankle_link,lf_ankle,lf_ankle_joint,revolute,0.07745,0,0.00015,0,0,0,lf_knee_Link,0,0,-1,1.2,4,-1.745,1.745,,,,,,,,
lm_thigh_Link,0.019013,0.00032996,0.00011404,0,0,0,0.071,2.5711E-06,1.9851E-08,-8.344E-08,2.9345E-06,-5.4072E-09,4.3664E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lm_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lm_thigh_Link.STL,,lf_leg^抓取机器人export_urdf-8/lf_thigh-1,lm_thigh_link,lm_thigh,lm_thigh_joint,revolute,-0.085,0,0.025996,0,0,-3.1416,base_link,0,0,-1,1.2,4,-0.698,0.698,,,,,,,,
lm_knee_Link,0.024,0.00029496,0.00084693,0,0,0,0.079,3.459E-06,1.9851E-08,-8.344E-08,6.155E-06,-5.4071E-09,4.8098E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lm_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lm_knee_Link.STL,,lf_leg^抓取机器人export_urdf-8/lf_knee-1,lm_knee_link,lm_knee,lm_knee_joint,revolute,0.05236,4.5E-05,-0.00075,1.5708,0,0,lm_thigh_Link,0,0,-1,1.2,4,-2.094,2.094,,,,,,,,
lm_ankle_Link,0.037761,-0.014128,0.00050942,0,0,0,0.092,9.9998E-06,8.2893E-06,-8.3442E-08,1.1276E-05,-5.4062E-09,1.9753E-05,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lm_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lm_ankle_Link.STL,,lf_leg^抓取机器人export_urdf-8/lf_ankle-1,lm_ankle_link,lm_ankle,lm_ankle_joint,revolute,0.07745,0,0.0002,0,0,0,lm_knee_Link,0,0,-1,1.2,4,-1.745,1.745,,,,,,,,
lb_thigh_Link,0.019013,0.00032996,0.00086404,0,0,0,0.071,2.5711E-06,1.9851E-08,-8.344E-08,2.9345E-06,-5.4072E-09,4.3664E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lb_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lb_thigh_Link.STL,,lf_leg^抓取机器人export_urdf-9/lf_thigh-1,lb_thigh_link,lb_thigh,lb_thigh_joint,revolute,-0.0425,-0.073612,0.025246,0,0,-2.0944,base_link,0,0,-1,1.2,4,-0.698,1.571,,,,,,,,
lb_knee_Link,0.024,0.00029496,0.00084694,0,0,0,0.079,3.459E-06,1.9852E-08,-8.3441E-08,6.155E-06,-5.4075E-09,4.8098E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lb_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lb_knee_Link.STL,,lf_leg^抓取机器人export_urdf-9/lf_knee-1,lb_knee_link,lb_knee,lb_knee_joint,revolute,0.05236,4.5E-05,0,1.5708,0,0,lb_thigh_Link,0,0,-1,1.2,4,-2.094,2.094,,,,,,,,
lb_ankle_Link,0.037761,-0.014128,0.00050936,0,0,0,0.092,9.9996E-06,8.2892E-06,-8.3419E-08,1.1276E-05,-5.4295E-09,1.9753E-05,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lb_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/lb_ankle_Link.STL,,lf_leg^抓取机器人export_urdf-9/lf_ankle-1,lb_ankle_link,lb_ankle,lb_ankle_joint,revolute,0.07745,0,0.0002,0,0,0,lb_knee_Link,0,0,-1,1.2,4,-1.745,1.745,,,,,,,,
rf_thigh_Link,0.019013,0.00032996,0.00086404,0,0,0,0.071,2.5711E-06,1.9851E-08,-8.344E-08,2.9345E-06,-5.4072E-09,4.3664E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rf_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rf_thigh_Link.STL,,lf_leg^抓取机器人export_urdf-10/lf_thigh-1,rf_thigh_link,rf_thigh,rf_thigh_joint,revolute,0.0425,0.073612,0.025246,0,0,1.0472,base_link,0,0,-1,1.2,4,-0.698,1.571,,,,,,,,
rf_knee_Link,0.024,0.00029496,0.00084694,0,0,0,0.079,3.459E-06,1.9852E-08,-8.3441E-08,6.155E-06,-5.4075E-09,4.8098E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rf_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rf_knee_Link.STL,,lf_leg^抓取机器人export_urdf-10/lf_knee-1,rf_knee_link,rf_knee,rf_knee_joint,revolute,0.05236,4.5E-05,0,1.5708,0,0,rf_thigh_Link,0,0,1,1.2,4,-2.094,2.094,,,,,,,,
rf_ankle_Link,0.037761,-0.014128,0.00050936,0,0,0,0.092,9.9996E-06,8.2892E-06,-8.3419E-08,1.1276E-05,-5.4295E-09,1.9753E-05,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rf_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rf_ankle_Link.STL,,lf_leg^抓取机器人export_urdf-10/lf_ankle-1,rf_ankle_link,rf_ankle,rf_ankle_joint,revolute,0.07745,0,0.0002,0,0,0,rf_knee_Link,0,0,1,1.2,4,-1.745,1.745,,,,,,,,
rm_thigh_Link,0.019013,0.00032996,0.00086404,0,0,0,0.071,2.5711E-06,1.9851E-08,-8.344E-08,2.9345E-06,-5.4071E-09,4.3664E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rm_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rm_thigh_Link.STL,,lf_leg^抓取机器人export_urdf-12/lf_thigh-1,rm_thigh_link,rm_thigh,rm_thigh_joint,revolute,0.085,0,0.025246,0,0,0,base_link,0,0,-1,1.2,4,-0.698,0.698,,,,,,,,
rm_knee_Link,0.024,0.00029496,0.00084693,0,0,0,0.079,3.459E-06,1.9851E-08,-8.344E-08,6.155E-06,-5.4071E-09,4.8098E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rm_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rm_knee_Link.STL,,lf_leg^抓取机器人export_urdf-12/lf_knee-1,rm_knee_link,rm_knee,rm_knee_joint,revolute,0.05236,4.5E-05,0,1.5708,0,0,rm_thigh_Link,0,0,1,1.2,4,-2.094,2.094,,,,,,,,
rm_ankle_Link,0.037761,-0.014128,0.00050942,0,0,0,0.092,9.9998E-06,8.2893E-06,-8.3442E-08,1.1276E-05,-5.4062E-09,1.9753E-05,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rm_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rm_ankle_Link.STL,,lf_leg^抓取机器人export_urdf-12/lf_ankle-1,rm_ankle_link,rm_ankle,rm_ankle_joint,revolute,0.07745,0,0.0002,0,0,0,rm_knee_Link,0,0,1,1.2,4,-1.745,1.745,,,,,,,,
rb_thigh_Link,0.019013,0.00032996,0.00086404,0,0,0,0.071,2.5711E-06,1.9851E-08,-8.344E-08,2.9345E-06,-5.4072E-09,4.3664E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rb_thigh_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rb_thigh_Link.STL,,lf_leg^抓取机器人export_urdf-11/lf_thigh-1,rb_thigh_link,rb_thigh,rb_thigh_joint,revolute,0.0425,-0.073612,0.025246,0,0,-1.0472,base_link,0,0,-1,1.2,4,-1.571,0.698,,,,,,,,
rb_knee_Link,0.024,0.00029496,0.00084694,0,0,0,0.079,3.459E-06,1.9852E-08,-8.3439E-08,6.155E-06,-5.4073E-09,4.8098E-06,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rb_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rb_knee_Link.STL,,lf_leg^抓取机器人export_urdf-11/lf_knee-1,rb_knee_link,rb_knee,rb_knee_joint,revolute,0.05236,4.5E-05,0,1.5708,0,0,rb_thigh_Link,0,0,1,1.2,4,-2.094,2.094,,,,,,,,
rb_ankle_Link,0.037761,-0.014128,0.00050943,0,0,0,0.092,9.9998E-06,8.2893E-06,-8.3441E-08,1.1276E-05,-5.4067E-09,1.9753E-05,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rb_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://抓取机器人export_urdf.SLDASM/meshes/rb_ankle_Link.STL,,lf_leg^抓取机器人export_urdf-11/lf_ankle-1,rb_ankle_link,rb_ankle,rb_ankle_joint,revolute,0.07745,0,0.0002,0,0,0,rb_knee_Link,0,0,1,1.2,4,-1.745,1.745,,,,,,,,
